TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
Singing Birds by the Stream,El Naturel,4x01eyysDx5Y4xS1LP6nHK,https://i.scdn.co/image/ab67616d0000b2737fe7484541fc2eab596d702b,https://open.spotify.com/track/4x01eyysDx5Y4xS1LP6nHK,https://p.scdn.co/mp3-preview/768a041ab7c7f0981a02daf761d834edc74dc9a5?cid=4598e66debe040afa4e5e77d7f33ee1d,0.947,0.103,0.000888
Tempête profonde,Tornadoez,1mSKUbvJG5Gmde0Kh9RDeQ,https://i.scdn.co/image/ab67616d0000b2735844d605a105f5d132da2b22,https://open.spotify.com/track/1mSKUbvJG5Gmde0Kh9RDeQ,https://p.scdn.co/mp3-preview/aefc9f0661bc217d543422818941bf9aa2f4cb25?cid=4598e66debe040afa4e5e77d7f33ee1d,0.599,0.239,0.0298
Nature Night-time,mahogany,0qjA7VzJyneuisZRNATzWp,https://i.scdn.co/image/ab67616d0000b2735727280cbfd70a05b2cf00b3,https://open.spotify.com/track/0qjA7VzJyneuisZRNATzWp,https://p.scdn.co/mp3-preview/32c368ea8dec2b644c587597dbcd16bf517b8828?cid=4598e66debe040afa4e5e77d7f33ee1d,0.936,0.175,0.00737
Stream to the Waterfall,Island Nature Sounds,1kgabwYM9KxzRzcuxkjIq6,https://i.scdn.co/image/ab67616d0000b27352ba52d17abd813c8937baeb,https://open.spotify.com/track/1kgabwYM9KxzRzcuxkjIq6,https://p.scdn.co/mp3-preview/de87bb374b62b249b397828658d252eacc978678?cid=4598e66debe040afa4e5e77d7f33ee1d,1.0,0.119,1e-05
Forest Rain,Rain Recordings,6ADPydLM8fmi6fjO9ZXAb8,https://i.scdn.co/image/ab67616d0000b2737a1bdd2b693365b46dc953c4,https://open.spotify.com/track/6ADPydLM8fmi6fjO9ZXAb8,https://p.scdn.co/mp3-preview/fbde789a3178de1ddf191f2fb93a6d99db77fba0?cid=4598e66debe040afa4e5e77d7f33ee1d,1.0,0.0771,1e-05
Nature Sounds,When Doves Cry (FX),0aiIxhhNwCZcUF4foUSpNa,https://i.scdn.co/image/ab67616d0000b2735371080997baf486b568fc79,https://open.spotify.com/track/0aiIxhhNwCZcUF4foUSpNa,https://p.scdn.co/mp3-preview/e5665ac8318f43f881b82bdc4023b9d6c8b1f98b?cid=4598e66debe040afa4e5e77d7f33ee1d,0.146,0.397,0.216
A Day At The Beach,Accuweather,3eqhRuaifkjQcgMmuTedxJ,https://i.scdn.co/image/ab67616d0000b2736f9c2a241e2f687ba0d7628c,https://open.spotify.com/track/3eqhRuaifkjQcgMmuTedxJ,https://p.scdn.co/mp3-preview/89cfc89674fe54bbb0c4a4949f0cc4d934dfe713?cid=4598e66debe040afa4e5e77d7f33ee1d,0.996,0.37,0.0208
Pouring Sea,Aussie Main,2XxYa30X2WQtPXfaP13NDo,https://i.scdn.co/image/ab67616d0000b2733ad20f919fdc5b75bad06be0,https://open.spotify.com/track/2XxYa30X2WQtPXfaP13NDo,https://p.scdn.co/mp3-preview/94015cdc233507d1f5067ff26ec0476236bebf54?cid=4598e66debe040afa4e5e77d7f33ee1d,0.915,0.195,0.013
Morning Bird Symphony,Himalaya Nature,2DG4GclEMtxZEFbXixAGxq,https://i.scdn.co/image/ab67616d0000b2731cf80cda525006cb30aa5a52,https://open.spotify.com/track/2DG4GclEMtxZEFbXixAGxq,https://p.scdn.co/mp3-preview/8ab18ebc8c4eacd7b12d95a95e615256a9a737cd?cid=4598e66debe040afa4e5e77d7f33ee1d,0.167,0.266,0.437
Distant Thunder in the East of the City,Naturalis,39IRFQpK8ZCRFPOMe9Y4At,https://i.scdn.co/image/ab67616d0000b273df97080c54c3a7ec4817cbb0,https://open.spotify.com/track/39IRFQpK8ZCRFPOMe9Y4At,https://p.scdn.co/mp3-preview/ca3181c351b43e5b1dcfdd25115c3db28c02fb74?cid=4598e66debe040afa4e5e77d7f33ee1d,0.996,0.186,0.0133
