TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
I Need The Light,ENHYPEN,69mhZKG0nDbSK7NoINWEsE,https://i.scdn.co/image/ab67616d0000b273e5245e31f1351c75654b5e92,https://open.spotify.com/track/69mhZKG0nDbSK7NoINWEsE,https://p.scdn.co/mp3-preview/b71d6f489c276640bd5b89d90dd1236af5da4861?cid=4598e66debe040afa4e5e77d7f33ee1d,0.869,0.594,0.802
BBoom BBoom,MOMOLAND,3BPoSr2pO34Aan6alFfVto,https://i.scdn.co/image/ab67616d0000b273a5bb4ef1ca42f4378d815c7c,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto,https://p.scdn.co/mp3-preview/52ee074fda9386d96363dd5d0ffaa146695a76fc?cid=4598e66debe040afa4e5e77d7f33ee1d,0.744,0.785,0.833
I'm Not Cool,HyunA,5iIpbD34k4wnuRMZDNnuWf,https://i.scdn.co/image/ab67616d0000b27332ba888c8c9b19cca68ca58d,https://open.spotify.com/track/5iIpbD34k4wnuRMZDNnuWf,https://p.scdn.co/mp3-preview/8fd1b268201b1f4569a00b4b5e7ca9a67de213f9?cid=4598e66debe040afa4e5e77d7f33ee1d,0.845,0.883,0.656
Cold Blooded,Jessi,34JfHOd0fcefm4FSPSrIhF,https://i.scdn.co/image/ab67616d0000b2732733089f7a982afc28269134,https://open.spotify.com/track/34JfHOd0fcefm4FSPSrIhF,https://p.scdn.co/mp3-preview/2fb81eeb87ee281becc6e3ec08111a4cf0cf86d7?cid=4598e66debe040afa4e5e77d7f33ee1d,0.739,0.961,0.759
DM,fromis_9,7B9W7Qsy5M2kyUNjQYIEG8,https://i.scdn.co/image/ab67616d0000b273cf53b5c466a64daece07edc4,https://open.spotify.com/track/7B9W7Qsy5M2kyUNjQYIEG8,https://p.scdn.co/mp3-preview/8f9b14092f965da99ca0c5d8604e98f8fb081b46?cid=4598e66debe040afa4e5e77d7f33ee1d,0.898,0.649,0.663
Rollin',Brave Girls,6SQUopvuZyrWYjYayxxSXl,https://i.scdn.co/image/ab67616d0000b27373d59cc449e4592026c3997a,https://open.spotify.com/track/6SQUopvuZyrWYjYayxxSXl,https://p.scdn.co/mp3-preview/0c27837ea386c6522f1f9b81dfeaac558abb8678?cid=4598e66debe040afa4e5e77d7f33ee1d,0.859,0.691,0.541
Pirate,EVERGLOW,0Vu5tjvXZX3qtzRiezxLi1,https://i.scdn.co/image/ab67616d0000b2734fcfc7c45bef0c20cc65ec27,https://open.spotify.com/track/0Vu5tjvXZX3qtzRiezxLi1,https://p.scdn.co/mp3-preview/06da56bacdac8d14baed5a1b2f2d42862952674b?cid=4598e66debe040afa4e5e77d7f33ee1d,0.685,0.683,0.381
LATATA,(G)I-DLE,2ezKXygNO30pXyDQXkm6oD,https://i.scdn.co/image/ab67616d0000b273f8f78670dcb7eb6f7a4405d4,https://open.spotify.com/track/2ezKXygNO30pXyDQXkm6oD,https://p.scdn.co/mp3-preview/71ebb121f9a14257546d5b2000bcb6f9937cc746?cid=4598e66debe040afa4e5e77d7f33ee1d,0.792,0.774,0.505
Killing Me,CHUNG HA,49bP8CRckjfdMD75RhITlu,https://i.scdn.co/image/ab67616d0000b2732f2b732244890646913db490,https://open.spotify.com/track/49bP8CRckjfdMD75RhITlu,https://p.scdn.co/mp3-preview/288e14f8277db5d24a6f94b449beb1002ff30a3a?cid=4598e66debe040afa4e5e77d7f33ee1d,0.859,0.72,0.738
XOXO,JEON SOMI,2ZMkjvuOQOD9HLplTDjbTA,https://i.scdn.co/image/ab67616d0000b2737ff1c1d0d05e123f895635fe,https://open.spotify.com/track/2ZMkjvuOQOD9HLplTDjbTA,https://p.scdn.co/mp3-preview/2a1c9dcf66dbf83215f03959e78995ec74e97cdd?cid=4598e66debe040afa4e5e77d7f33ee1d,0.611,0.703,0.527
Nonstop,OH MY GIRL,5joNJn9LUvYcamWwa2iYCL,https://i.scdn.co/image/ab67616d0000b2734957fced6061ee536ca618ab,https://open.spotify.com/track/5joNJn9LUvYcamWwa2iYCL,https://p.scdn.co/mp3-preview/2856cc654eb41e2dea45689f652d510a16786e44?cid=4598e66debe040afa4e5e77d7f33ee1d,0.91,0.753,0.825
KISS,TRI.BE,7MONmJafc7senaIZE3ulWv,https://i.scdn.co/image/ab67616d0000b27303611decaac95320f5549cec,https://open.spotify.com/track/7MONmJafc7senaIZE3ulWv,https://p.scdn.co/mp3-preview/6d0bb5819079902e7dce4c1270f2551bcf48f0b6?cid=4598e66debe040afa4e5e77d7f33ee1d,0.868,0.733,0.567
Stay This Way,fromis_9,3pqgVtpnQbBAZoWT4AEm1B,https://i.scdn.co/image/ab67616d0000b2738f1544ceffe6d266edd74532,https://open.spotify.com/track/3pqgVtpnQbBAZoWT4AEm1B,https://p.scdn.co/mp3-preview/9b0d2912430289ce25d581db603ae1ced20fb778?cid=4598e66debe040afa4e5e77d7f33ee1d,0.855,0.682,0.764
DUMDi DUMDi,(G)I-DLE,3DFkrphec6z2ni73CIIKro,https://i.scdn.co/image/ab67616d0000b273fe443ca0bc885c47ee2b2e52,https://open.spotify.com/track/3DFkrphec6z2ni73CIIKro,https://p.scdn.co/mp3-preview/da918c622232c1fcf4296f43ccbba2e22ee3bfc1?cid=4598e66debe040afa4e5e77d7f33ee1d,0.904,0.755,0.625
Ah puh,IU,1IJxbEXfgiKuRx6oXMX87e,https://i.scdn.co/image/ab67616d0000b2734ed058b71650a6ca2c04adff,https://open.spotify.com/track/1IJxbEXfgiKuRx6oXMX87e,https://p.scdn.co/mp3-preview/e138a5b3a9772859c03ebf22c8ae9cb7c59ff4e3?cid=4598e66debe040afa4e5e77d7f33ee1d,0.732,0.954,0.842
Make A Wish (Birthday Song),NCT U,1Q5SpQeocfNXefx76svqkl,https://i.scdn.co/image/ab67616d0000b2736db6b8f9ddadc7503eaf4ae8,https://open.spotify.com/track/1Q5SpQeocfNXefx76svqkl,https://p.scdn.co/mp3-preview/087e8fc92e810304fa052f7d13661aa15a6ccbc2?cid=4598e66debe040afa4e5e77d7f33ee1d,0.795,0.732,0.693
