TrackName,Artist,SongID,IMG,SongURL,Preview,Energy,Danceability,Valence
Trust Me (MIDZY),ITZY,6vLEVk6tX8RSMTHlwT7Ecm,https://i.scdn.co/image/ab67616d0000b2737403d1086aca8b4848b3238f,https://open.spotify.com/track/6vLEVk6tX8RSMTHlwT7Ecm,https://p.scdn.co/mp3-preview/51f9f65307d67b7f97ad30ea074f665bd6995f3e?cid=4598e66debe040afa4e5e77d7f33ee1d,0.525,0.607,0.369
Complex (Feat. G-DRAGON),"Zion.T, G-DRAGON",3v7M2SwKHQZ8domnAQV2DJ,https://i.scdn.co/image/ab67616d0000b273531a2800a2d10642a366604d,https://open.spotify.com/track/3v7M2SwKHQZ8domnAQV2DJ,https://p.scdn.co/mp3-preview/888527f483d94e03afa85ca7067f9b23ea29d69a?cid=4598e66debe040afa4e5e77d7f33ee1d,0.458,0.82,0.546
She Gonna Stop (Feat. Leellamarz) (Prod. TOIL),"Dynamicduo, Leellamarz",6lny2zJqlDPBzgq1Eiy0a0,https://i.scdn.co/image/ab67616d0000b273fd4d8343fd00f8e42948bdc3,https://open.spotify.com/track/6lny2zJqlDPBzgq1Eiy0a0,https://p.scdn.co/mp3-preview/d2d3291ca855c32f3e8fe7ce84ecb6ac3a15d8c4?cid=4598e66debe040afa4e5e77d7f33ee1d,0.697,0.866,0.901
Brave,Kim Jong Wan of NELL,30g5E9MteFxeG9pDvRKJNl,https://i.scdn.co/image/ab67616d0000b273629edb41f90c46cf0dee3547,https://open.spotify.com/track/30g5E9MteFxeG9pDvRKJNl,https://p.scdn.co/mp3-preview/0ccb15ca3c45485403d2dcf500fad8e2156b42bf?cid=4598e66debe040afa4e5e77d7f33ee1d,0.499,0.27,0.288
I will listen never alone,Yoon Mirae,5Ny8dTK7mUgpL04RV07gee,https://i.scdn.co/image/ab67616d0000b2733ba7baab62a91cbbbabac9c4,https://open.spotify.com/track/5Ny8dTK7mUgpL04RV07gee,https://p.scdn.co/mp3-preview/f36d2cf774fa0ef84f15280cd113b229a7d56e7b?cid=4598e66debe040afa4e5e77d7f33ee1d,0.449,0.534,0.206
Through the Night,IU,3P3UA61WRQqwCXaoFOTENd,https://i.scdn.co/image/ab67616d0000b273c06f0e8b33ac2d246158253e,https://open.spotify.com/track/3P3UA61WRQqwCXaoFOTENd,https://p.scdn.co/mp3-preview/c9ec3337c8ac1f1a439ab712cd1e62691f6b9f7c?cid=4598e66debe040afa4e5e77d7f33ee1d,0.313,0.428,0.284
Night Drive,GFRIEND,7azmn7M9mRnHzyqxzjMsNe,https://i.scdn.co/image/ab67616d0000b273a1c07b020417770f3385448f,https://open.spotify.com/track/7azmn7M9mRnHzyqxzjMsNe,https://p.scdn.co/mp3-preview/06122305f32fa1a8f11e29e58b46d3757e36645d?cid=4598e66debe040afa4e5e77d7f33ee1d,0.649,0.613,0.394
Human,ZICO,58DqPqnPOrXEIU7Lj0s5PW,https://i.scdn.co/image/ab67616d0000b27324deb6c031c068f1f3a6324b,https://open.spotify.com/track/58DqPqnPOrXEIU7Lj0s5PW,https://p.scdn.co/mp3-preview/943c04e7f72dad77d48c9a842a1f1155040be71f?cid=4598e66debe040afa4e5e77d7f33ee1d,0.662,0.721,0.253
Walk With Me,Sunwoojunga,3S5dxFnvl6viLuCAAyZG5B,https://i.scdn.co/image/ab67616d0000b273e04d9ccd939824a0ac4ebc5c,https://open.spotify.com/track/3S5dxFnvl6viLuCAAyZG5B,https://p.scdn.co/mp3-preview/d530be8d3dfdd9b122656b7f6ce20f0db3a07e98?cid=4598e66debe040afa4e5e77d7f33ee1d,0.409,0.421,0.198
IYAH,Kang Seung Yoon,3EC9jQuk4yPP3IhKOJvbPw,https://i.scdn.co/image/ab67616d0000b273f7b851d008790d80625e1b92,https://open.spotify.com/track/3EC9jQuk4yPP3IhKOJvbPw,https://p.scdn.co/mp3-preview/fee70aa8ba5ef797d8e674e7ab0d8f7e5021adcc?cid=4598e66debe040afa4e5e77d7f33ee1d,0.601,0.61,0.379
Don't be sad,Ku One Chan,1f26mzPoBLP8OO67XDmwv8,https://i.scdn.co/image/ab67616d0000b273c05a201b549f948fbbac52c1,https://open.spotify.com/track/1f26mzPoBLP8OO67XDmwv8,https://p.scdn.co/mp3-preview/19e8d21682d94f635a631d72087c0c3820d72864?cid=4598e66debe040afa4e5e77d7f33ee1d,0.514,0.771,0.805
My Day (Acoustic Ver.),J.UNA,3U5ex6nJznAHjxjQoMOe1j,https://i.scdn.co/image/ab67616d0000b273281cc80ff65dc5d1c1032466,https://open.spotify.com/track/3U5ex6nJznAHjxjQoMOe1j,https://p.scdn.co/mp3-preview/393f5860039e42a312f8983612f11dc4f8de030d?cid=4598e66debe040afa4e5e77d7f33ee1d,0.384,0.412,0.217
Kim Cheolsu Story,Heo Hoy Kyung,48mBeNB9eRSxbPn9bDIcyn,https://i.scdn.co/image/ab67616d0000b27308befc84a9771873e49006b6,https://open.spotify.com/track/48mBeNB9eRSxbPn9bDIcyn,https://p.scdn.co/mp3-preview/fa85e7059c0dfdfec79ec538230e9cd81cef1c00?cid=4598e66debe040afa4e5e77d7f33ee1d,0.356,0.637,0.368
